Title,Description,Category,Author,Publish_Date
The 10 Most Popular Courses Among Engineers This Year,"If you’re an engineer trying to grow your skills while working from home, this list is for you. Check out the 10 most-watched courses by engineers.",Top skills and courses,Erica Lockheimer,"Sep 21, 2020"
The 10 Most Popular Courses Every Sales Professional Needs to ...,"If you’re a sales professional trying to grow your skills while working from home, this list is for you. Check out the 10 most-watched courses by sales pros.",Top skills and courses,Mike Derezin,"Sep 21, 2020"
34 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful in September.,New courses,Zoë Kelsey,"Sep 20, 2020"
You’re Invited to the LinkedIn Learning Virtual Summit,"Thought leaders, L&D and HR practitioners, and LinkedIn Learning instructors share best practices and explore key trends that are shaping the industry on October 6-7, 2020.",Learning and development,Amanda Van Nuys,"Sep 20, 2020"
"Avnet Inspires Employees to Learn for a Cause, Donates $30,000...","The L&D team launched a learning challenge, “Learning for a Cause—COVID-19.” When employees reached 9,000 hours of learning, Avnet would make a donation.",Customer stories,Amanda Van Nuys,"Sep 19, 2020"
The 10 Most Popular Courses Every IT Professional Needs to Watch,The tech space is constantly changing. What do you need to learn next? Check out the 10 most-watched courses by IT professionals over the past year.,Top skills and courses,Ashi Sheth,"Sep 14, 2020"
The 10 Most Popular Courses Job Seekers Need to Watch,Looking for a new job during the pandemic can feel like a massive undertaking. Check out the 10 most popular courses among job seekers in the past year to help you find your nex...,Top skills and courses,Hari Srinivasan,"Sep 14, 2020"
29 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Sep 13, 2020"
The Most Popular 20 Courses to Help Your Employees Reskill for...,The 20 most popular courses that millions of professionals globally watched this year. Based on global data from the LinkedIn Learning platform.,Learning and development,Amanda Van Nuys,"Sep 11, 2020"
Allyship and Antiracism on Live with LinkedIn Learning,"Learn how to be an ally in your professional life in a conversation hosted by VP of Global Diversity Inclusion and Belonging at LinkedIn, Rossanna Durruthy with VP of Inclusion ...",Conversations for change,Rosanna Durruthy,"Sep 9, 2020"
31 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Sep 3, 2020"
The 10 Most Popular Courses Every Business Professional Needs ...,"If you’re a business professional trying to grow your skills or get to the next level in your career, this list is for you. Check out the 10 most-watched courses by business pro...",Top skills and courses,Emily Poague,"Sep 1, 2020"
34 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Aug 31, 2020"
Learn New Skills in September Live with Instructors,"To help you continue your learning journey and build the skills most relevant to you, check out the latest LinkedIn Live events hosted by our expert instructors.",New courses,Zoë Kelsey,"Aug 31, 2020"
How Employee Feedback Guides LinkedIn’s L&D Efforts in APAC,Employee feedback is a gift. Learn more about how LinkedIn APAC uses employee voices to guide their L&D efforts.,Learning and development,Shuxian Li,"Aug 28, 2020"
How LinkedIn Learning is Helping Austin Democratize Employee D...,See how the City of Austin is using LinkedIn Learning to develop its employees and build a stronger culture.,Government,Paul Petrone,"Aug 26, 2020"
What Digital Body Language Means in Our New World of Work,Working from home means we need new skills like digital body language. Learn three ways to prevent miscommunication in the new world of work.,Productivity tips,Erica Dhawan,"Aug 26, 2020"
36 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Aug 24, 2020"
A Conversation with APAC L&D Professionals: How NETS and Jardi...,Organisations are rethinking the way they approach learning and development. Learn how NETS Singapore and Jardine Matheson are leading with learning.,Customer stories,Shuxian Li,"Aug 21, 2020"
J&J Sigma’s LinkedIn Learning Pilot Highlights the Importance ...,Nursing experts curated a series of LinkedIn Learning courses to prove fundamental personal leadership and resilience skills are critical to professional success.,Customer stories,Amanda Van Nuys,"Aug 20, 2020"
38 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Aug 17, 2020"
The Skills Companies are Hiring For—Right Now,Stand out for your next job opportunity. Check out the top 10 skills companies are hiring for right now and free courses to help you learn them.,Top skills and courses,Emily Poague,"Aug 17, 2020"
The Story Behind the Remarkable Culture Change in Lancaster Co...,Speaking to the employees at the Lancaster County Assessor’s Office is like talking to people who had an awakening. Everyone interviewed gushed about the learning program and ab...,Government,Paul Petrone,"Aug 16, 2020"
6 Best Practices Are the Foundation of Blended Online Learning,"L&D pros cover social learning on Microsoft Teams, the optimal time limit for virtual in-person training (VILT), and striking the right ‘blend’ of online learning.",Learning and development,Amanda Van Nuys,"Aug 14, 2020"
The New Normal Calls for New Measurement: Evaluating the Impac...,"Learning leaders share the metrics that matter: closing skills gaps, measuring cultural competence, and comparing engagement to industry benchmarks.",Impact of learning,Amanda Van Nuys,"Aug 14, 2020"
Webcast Recap: How L&D Can Foster a Strong Culture of Learning...,Highlights from a discussion with Netflix and Liverpool Football Club that we hope will inspire your own L&D strategy and help you and your teams thrive in this new world.,Learning and development,Deanna Grady,"Aug 12, 2020"
L&D Pros Share How to Partner with Leadership to Drive Engagement,"How to partner with key stakeholders—the head of sales, IT, and others—to embed learning within those departments in a more relevant, applicable, and focused way.",Learner engagement,Amanda Van Nuys,"Aug 11, 2020"
36 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Aug 10, 2020"
How to Confront Bias and Thrive Across Our Differences,Taking action and enacting change as an ally starts by examining your unconscious biases. Learn the 4 steps to break down unconscious biases today.,Career success tips,Vernā Myers,"Aug 10, 2020"
New Free Courses to Adapt and Thrive in the New World of Work,"The new world of work continues to evolve, but one thing will remain constant: remote work. Check out these new courses free until September 5, 2020.",Career success tips,Hari Srinivasan,"Aug 5, 2020"
This Month Learn New Skills Live with Instructors,"To help you continue your learning journey and build the skills most relevant to you, check out the latest LinkedIn Live events hosted by our expert LinkedIn Learning Instructors.",Productivity tips,Zoë Kelsey,"Aug 4, 2020"
33 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Aug 3, 2020"
Leaning into Learning: NETS Group Succeeds with Gamification a...,How NETS achieved an activation rate of 98% and users recorded an average of 10 learning hours in the month of June,Learning and development,Shuxian Li,"Jul 28, 2020"
25 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Jul 27, 2020"
3 Strategies to Stop Doubting Yourself—Especially in Anxious T...,Who out there doesn't fall prey to occasional self-doubt? Use these three strategies to get past the self-doubt monster and get back to doing your best work.,Career success tips,Rachel Parnes,"Jul 27, 2020"
25 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Jul 20, 2020"
How to Stop Interrupting People in Virtual Meetings,,Career success tips,Rachel Parnes,"Jul 20, 2020"
LinkedIn Ramps up Remote Learning in APAC,"How LinkedIn strives to equip, engage, and inspire its people to do the best work of their career.",Learning and development,Shuxian Li,"Jul 15, 2020"
